name;description;category;tags;creationyear;address;postcode;city;geo_point_2d;url;twitter;googleplus;facebook
Capitaine Train;Capitaine Train est une plateforme d'achat de billets de train simple et rapide : SNCF, Eurostar, Thalys, Lyria, iDTGV, OUIGO, iDBUS, Deutsche Bahn.;Entreprise;"transport;ecommerce;train";2009;9 rue Ambroise Thomas;75009;Paris;48.8748346937, 2.34725475311;https://www.capitainetrain.com;capitainetrain;https://plus.google.com/+capitainetrain;https://www.facebook.com/capitainetrain
Omnikles;Omnikles propose aux collectivités et entreprises une gamme étendue de services web spécialisés dans la dématérialisation des marchés publics.;Entreprise;"dematerialisation;marchespublics";2000;26 rue du Faubourg Poissonnière;75010;Paris;48.87273, 2.3479;http://www.omnikles.com;;;
Akare;Akare est un éditeur de logiciels de gestion et d'applications collaboratives en ligne.;Entreprise;apps;2007;66 avenue de Champs Elysées;75008;Paris;48.870593, 2.304993;http://www.akare.eu;;;
Nokinomo;Nokinomo est une agence de design interactif qui développe des outils innovants au service de la créativité, de l’architecture, de la communication et du marketing.;Prestataire;"design;interactif";2007;54 rue des Tilleuls;92100;Boulogne-Billancourt;48.84465, 2.23993;http://www.nokinomo.com;nokinomo;;https://www.facebook.com/nokinomo
Siemens SAS;;Entreprise;;1956;9 boulevard Finot;93527;Saint Denis;48.9183058, 2.3415372;;;;
Stootie;Stootie, petites annonces et réseau social collaboratif. Echange de services à proximité, d’objets d' occasion ( troc, don et bon débarras ) et bons plans entre particuliers. Dépannage, babysitting, cours d’informatique au coin de la rue.;Entreprise;"mobile;echangedeservices;greniers";2011;12 rue Martel;75010;Paris;48.8739455767, 2.35300540924;http://www.stootie.com;stootie;;https://www.facebook.com/StootieApp
Winnove;Créer des relations fructueuses entre jeunes entreprises inventives et grandes compagnies innovantes;Entreprise;ocds;2003;24-26 rue Jean Duplessis;78150;Le-Chesnay;48.8259135, 2.1395085;http://www.winnove.com/;;;
Vente-privee.com;Vente-privee.com est spécialisée dans le déstockage de grandes marques et propose une plateforme de vente événementielle sur Internet.;Entreprise;"vente;destockage;ecommerce";2001;249 avenue du Président Wilson;93210;Saint Denis;48.91698, 2.357273;http://www.vente-privee.com;;;https://www.facebook.com/venteprivee
Welovewords;La première plateforme communautaire francophone destinée aux auteurs;Entreprise;;2009;13 rue de l'Arsenal;75004;Paris;48.8513456, 2.3665794;http://www.welovewords.com/;welovewords;;
Devoteam;;Entreprise;telecoms;1995;73 rue Anatole France;92300;Levallois-Perret;48.891781, 2.2853255;;;;
Believe Digital;Believe Digital est un distributeur de contenus digitaux et un fournisseur de services pour les artistes et labels indépendants.;Entreprise;"musique;video";2005;2 place du Colonel Fabien;75019;Paris;48.87783, 2.37066;http://www.believedigital.com;Believe_USA;;https://www.facebook.com/believedigital
Chemins de Tr@verse;Chemins de tr@verse est une maison d’édition numérique et papier qui conçoit, édite, publie et vend des livres notamment via sa plateforme bouquineo.fr;Entreprise;"edition;librairie;ebook";;2 rue Pierre Sémard;75009;Paris;48.876911, 2.34714;http://www.chemins-de-traverse.fr;Chdetraverse;;
Home'n'go;Home’n’go est un service qui centralise toutes les annonces immobilières des principaux sites et vous permet d’obtenir des informations détaillées et pertinentes concernant la vie autour du logement qui vous intéresse.;Entreprise;"immobilier;data";2011;61 rue du Faubourg Saint Denis;75010;Paris;48.872098509, 2.353889247;http://www.homengo.com;home_n_go;https://plus.google.com/+Homengo;https://www.facebook.com/homengofan
Babble Planet;Babble Planet est une application ludique pour les 6-10 ans se focalisant sur l'apprentissage de l'anglais oral.;Entreprise;"jeu;elearning;anglais";2012;26 rue du Chemin Vert;75011;Paris;48.858341, 2.3725;http://www.babbleplanet.com;BabblePlanet;;https://www.facebook.com/BabblePlanet
